PatentNumber,class,reactants>reagents>production
US07943607B2,,CN(C)C=O.ClCCl.O=C(Cl)C(=O)Cl.O[C:26]([c:25]1[cH:24][c:9]([O:10][c:11]2[cH:12][cH:13][c:14]3[c:15]([cH:16]2)[O:17][CH2:18][CH2:19][N:20]([CH3:21])[C:22]3=[O:23])[cH:8][c:7]([O:6][C@H:4]([CH2:3][O:2][CH3:1])[CH3:5])[cH:36]1)=[O:27].[NH2:28][c:29]1[cH:30][n:31][c:32]([CH3:33])[cH:34][n:35]1.c1ccncc1>>[CH3:1][O:2][CH2:3][C@H:4]([CH3:5])[O:6][c:7]1[cH:8][c:9]([O:10][c:11]2[cH:12][cH:13][c:14]3[c:15]([cH:16]2)[O:17][CH2:18][CH2:19][N:20]([CH3:21])[C:22]3=[O:23])[cH:24][c:25]([C:26](=[O:27])[NH:28][c:29]2[cH:30][n:31][c:32]([CH3:33])[cH:34][n:35]2)[cH:36]1
US05212173,,CC(C)O.Cl.Cl[CH2:5][CH2:6][N:7]([CH3:8])[CH2:9][CH2:10][O:11][C@@H:12]1[CH2:13][C@H:14]([CH3:15])[CH2:16][CH2:17][C@H:18]1[CH:19]([CH3:20])[CH3:21].O.O=C([O-])[O-].[CH3:1][CH:2]([CH3:3])[NH2:4].[K+].[K+]>>[CH3:1][CH:2]([CH3:3])[NH:4][CH2:5][CH2:6][N:7]([CH3:8])[CH2:9][CH2:10][O:11][C@@H:12]1[CH2:13][C@H:14]([CH3:15])[CH2:16][CH2:17][C@H:18]1[CH:19]([CH3:20])[CH3:21]
US07378404B2,,C1CCOC1.O=S(=O)(c1ccccc1)N(S(=O)(=O)c1ccccc1)[F:17].[CH2:1]=[CH:2][C@@:3]12[CH2:4][CH2:5][c:6]3[cH:7][c:8]([O:9][CH:10]4[CH2:11][CH2:12][CH2:13][CH2:14][O:15]4)[cH:16][cH:18][c:19]3[C@H:20]1[CH2:21][CH2:22][C@:23]1([CH3:24])[C@@H:25]([O:26][CH:27]3[CH2:28][CH2:29][CH2:30][CH2:31][O:32]3)[CH2:33][CH2:34][C@@H:35]21.[Li]C(C)CC>>[CH2:1]=[CH:2][C@@:3]12[CH2:4][CH2:5][c:6]3[cH:7][c:8]([O:9][CH:10]4[CH2:11][CH2:12][CH2:13][CH2:14][O:15]4)[c:16]([F:17])[cH:18][c:19]3[C@H:20]1[CH2:21][CH2:22][C@:23]1([CH3:24])[C@@H:25]([O:26][CH:27]3[CH2:28][CH2:29][CH2:30][CH2:31][O:32]3)[CH2:33][CH2:34][C@@H:35]21
US07820815B2,,Cc1ccccc1.NCCO.O=C1c2ccccc2C(=O)[N:12]1[C@@H:11]1[CH2:10][CH2:9][CH2:8][N:7]([c:6]2[n:5]([CH2:4][C:3]#[C:2][CH3:1])[c:16]3[c:15]([n:14]2)[n:34]([CH3:35])[c:32](=[O:33])[n:19]([CH2:20][c:21]2[n:22][c:23]([CH3:24])[c:25]4[cH:26][cH:27][cH:28][cH:29][c:30]4[n:31]2)[c:17]3=[O:18])[CH2:13]1>>[CH3:1][C:2]#[C:3][CH2:4][n:5]1[c:6]([N:7]2[CH2:8][CH2:9][CH2:10][C@@H:11]([NH2:12])[CH2:13]2)[n:14][c:15]2[c:16]1[c:17](=[O:18])[n:19]([CH2:20][c:21]1[n:22][c:23]([CH3:24])[c:25]3[cH:26][cH:27][cH:28][cH:29][c:30]3[n:31]1)[c:32](=[O:33])[n:34]2[CH3:35]
US03952031,,O.[C@@H:6]12[CH2:7][C@@:8]3([CH3:9])[C@@H:10]([CH2:11][CH2:12][C@H:13]4[C@@H:14]5[CH2:15][CH2:16][C@H:17]([C:18]([CH3:19])=[O:20])[C@@:21]5([CH3:22])[CH2:23][C:24](=[O:25])[C@H:26]34)[CH2:27][C@@H:28]1[O:29]2.[CH3:1][CH2:2][C:3](=[O:4])[OH:5]>>[CH3:1][CH2:2][C:3](=[O:4])[O:5][C@H:6]1[CH2:7][C@@:8]2([CH3:9])[C@@H:10]([CH2:11][CH2:12][C@H:13]3[C@@H:14]4[CH2:15][CH2:16][C@H:17]([C:18]([CH3:19])=[O:20])[C@@:21]4([CH3:22])[CH2:23][C:24](=[O:25])[C@H:26]23)[CH2:27][C@@H:28]1[OH:29]
US08686152B2,,CC(C)(C)OC(=O)[NH:1][CH:2]([CH2:3][c:4]1[cH:5][cH:6][cH:7][s:8]1)[C:9](=[O:10])[N:11]1[CH2:12][CH2:13][C:14]([CH2:15][c:16]2[cH:17][cH:18][c:19]([C:20]#[N:21])[cH:25][cH:26]2)([C:27](=[O:28])[NH:29][CH:30]2[CH2:31][CH2:32][CH2:33][CH2:34][CH2:35]2)[CH2:36][CH2:37]1.CCCC[Sn](=O)CCCC.COCCOC.C[Si](C)(C)[N:24]=[N+:22]=[N-:23]>>[NH2:1][C@@H:2]([CH2:3][c:4]1[cH:5][cH:6][cH:7][s:8]1)[C:9](=[O:10])[N:11]1[CH2:12][CH2:13][C:14]([CH2:15][c:16]2[cH:17][cH:18][c:19](-[c:20]3[n:21][n:22][n:23][nH:24]3)[cH:25][cH:26]2)([C:27](=[O:28])[NH:29][CH:30]2[CH2:31][CH2:32][CH2:33][CH2:34][CH2:35]2)[CH2:36][CH2:37]1
US08293721B2,,CC(C)NC(C)C.CCOC(C)=O.ClC(Cl)Cl.ClCCl.[OH:3][C@H:4]([CH2:5][Cl:6])[CH2:7][NH:8][CH2:9][c:10]1[cH:11][cH:12][cH:13][cH:14][cH:15]1.c1cn([C:2](n2ccnc2)=[O:1])cn1>>[O:1]=[C:2]1[O:3][C@H:4]([CH2:5][Cl:6])[CH2:7][N:8]1[CH2:9][c:10]1[cH:11][cH:12][cH:13][cH:14][cH:15]1
US04797417,,CO[C:4](=[O:5])[CH2:6][C:7](OC)=[O:8].[CH3:1][CH2:2][OH:3].[Na].[O:9]1[CH:10]([CH2:11][CH2:12][CH2:13][O:14][Si:15]([c:16]2[cH:17][cH:18][cH:19][cH:20][cH:21]2)([c:22]2[cH:23][cH:24][cH:25][cH:26][cH:27]2)[C:28]([CH3:29])([CH3:30])[CH3:31])[CH:32]1[c:33]1[cH:34][cH:35][cH:36][cH:37][cH:38]1>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[CH:6]1[C:7](=[O:8])[O:9][C@H:10]([CH2:11][CH2:12][CH2:13][O:14][Si:15]([c:16]2[cH:17][cH:18][cH:19][cH:20][cH:21]2)([c:22]2[cH:23][cH:24][cH:25][cH:26][cH:27]2)[C:28]([CH3:29])([CH3:30])[CH3:31])[C@H:32]1[c:33]1[cH:34][cH:35][cH:36][cH:37][cH:38]1
US08987250B2,,C1CCOC1.CC(=O)O.CC[O:41][C:39]([C@H:33]([c:32]1[c:2]([CH3:1])[cH:3][c:4]2[n:5][c:6](-[c:7]3[cH:8][cH:9][n:10][c:11]([N:12]4[CH2:13][CH2:14][N:15]([CH:16]([CH3:17])[CH3:18])[CH2:19][CH2:20]4)[cH:21]3)[s:22][c:23]2[c:24]1-[c:25]1[cH:26][cH:27][c:28]([Cl:29])[cH:30][cH:31]1)[O:34][C:35]([CH3:36])([CH3:37])[CH3:38])=[O:40].CN(C)C=O.CO.[Na+].[OH-]>>[CH3:1][c:2]1[cH:3][c:4]2[n:5][c:6](-[c:7]3[cH:8][cH:9][n:10][c:11]([N:12]4[CH2:13][CH2:14][N:15]([CH:16]([CH3:17])[CH3:18])[CH2:19][CH2:20]4)[cH:21]3)[s:22][c:23]2[c:24](-[c:25]2[cH:26][cH:27][c:28]([Cl:29])[cH:30][cH:31]2)[c:32]1[C@H:33]([O:34][C:35]([CH3:36])([CH3:37])[CH3:38])[C:39](=[O:40])[OH:41]
US09266876B2,,CCO.CCOC(C)=O.CC[O:3][C:2](=[O:1])[CH2:4][NH:5][NH2:6].CN(C)/[CH:7]=[CH:8]/[C:9](=O)[c:10]1[cH:11][cH:12][cH:13][cH:14][cH:15]1.Cl.Cl.O=C([O-])[O-].[K+].[K+]>>[O:1]=[C:2]([OH:3])[CH2:4][n:5]1[n:6][cH:7][cH:8][c:9]1-[c:10]1[cH:11][cH:12][cH:13][cH:14][cH:15]1
US09440982B2,,O[C:13]([c:12]1[c:5](-[c:6]2[cH:7][n:8][cH:9][cH:10][n:11]2)[cH:4][cH:3][c:2]([CH3:1])[cH:34]1)=[O:14].[NH:15]1[CH2:16][CH2:17][CH2:18][C@@H:19]([CH3:20])[C@H:21]1[CH2:22][NH:23][c:24]1[cH:25][cH:26][c:27]([C:28]([F:29])([F:30])[F:31])[cH:32][n:33]1>>[CH3:1][c:2]1[cH:3][cH:4][c:5](-[c:6]2[cH:7][n:8][cH:9][cH:10][n:11]2)[c:12]([C:13](=[O:14])[N:15]2[CH2:16][CH2:17][CH2:18][C@@H:19]([CH3:20])[C@H:21]2[CH2:22][NH:23][c:24]2[cH:25][cH:26][c:27]([C:28]([F:29])([F:30])[F:31])[cH:32][n:33]2)[cH:34]1
US07465731B2,,CC(=O)O[C:2]([CH3:1])=[O:3].ClCCl.O.[NH2:4][c:5]1[cH:6][cH:7][cH:8][c:9]([CH2:10][N:11]2[CH2:12][CH2:13][C@@H:14]([NH:15][C:16](=[O:17])[O:18][C:19]([CH3:20])([CH3:21])[CH3:22])[CH2:23]2)[cH:24]1.c1ccncc1>>[CH3:1][C:2](=[O:3])[NH:4][c:5]1[cH:6][cH:7][cH:8][c:9]([CH2:10][N:11]2[CH2:12][CH2:13][C@@H:14]([NH:15][C:16](=[O:17])[O:18][C:19]([CH3:20])([CH3:21])[CH3:22])[CH2:23]2)[cH:24]1
US05166188,,C1COCCO1.C[O:3][C:2](=[O:1])[CH2:4]/[CH:5]=[CH:6]/[c:7]1[cH:8][cH:9][c:10]([NH:11][c:12]2[n:13][cH:14][cH:15][cH:16][n:17]2)[cH:18][cH:19]1.Cl.[Na+].[OH-]>>[O:1]=[C:2]([OH:3])[CH2:4]/[CH:5]=[CH:6]/[c:7]1[cH:8][cH:9][c:10]([NH:11][c:12]2[n:13][cH:14][cH:15][cH:16][n:17]2)[cH:18][cH:19]1
US08389749B2,,CCC(C)c1ccccc1O.O[C@H:4]([C:3]([CH2:2][OH:1])=[O:9])[C@H:5](O)[C@H:6](O)[CH2:7][OH:8].[Cl-].[Na+]>>[O:1]=[CH:2][c:3]1[cH:4][cH:5][c:6]([CH2:7][OH:8])[o:9]1
US08497368B2,,O=[C:8]([CH3:9])[c:10]1[cH:11][cH:12][c:13]2[n:14][cH:15][c:16]([CH2:17][c:18]3[cH:19][c:20]4[cH:21][cH:22][cH:23][n:24][c:25]4[cH:26][c:27]3[F:28])[n:29]2[n:30]1.[CH3:1][CH2:2][NH:3][C:4](=[S:5])[NH:6][NH2:7]>>[CH3:1][CH2:2][NH:3][C:4](=[S:5])[NH:6]/[N:7]=[C:8](\[CH3:9])[c:10]1[cH:11][cH:12][c:13]2[n:14][cH:15][c:16]([CH2:17][c:18]3[cH:19][c:20]4[cH:21][cH:22][cH:23][n:24][c:25]4[cH:26][c:27]3[F:28])[n:29]2[n:30]1
US06451814B1,,CC(C)(C)[Si](c1ccccc1)(c1ccccc1)[O:34][c:33]1[cH:32][cH:31][c:30]([O:29][CH2:28][CH:26]2[CH2:25][O:27]2)[cH:36][cH:35]1.CO.ClC(Cl)Cl.O=CO.[O:1]=[C:2]([NH:3][CH2:4][c:5]1[cH:6][c:7]([F:8])[cH:9][cH:10][c:11]1[F:12])[N:13]1[CH2:14][CH2:15][CH:16]([NH:17][c:18]2[cH:19][cH:20][c:21]([CH2:22][CH2:23][NH2:24])[cH:37][cH:38]2)[CH2:39][CH2:40]1>>[O:1]=[C:2]([NH:3][CH2:4][c:5]1[cH:6][c:7]([F:8])[cH:9][cH:10][c:11]1[F:12])[N:13]1[CH2:14][CH2:15][CH:16]([NH:17][c:18]2[cH:19][cH:20][c:21]([CH2:22][CH2:23][NH:24][CH2:25][C@H:26]([OH:27])[CH2:28][O:29][c:30]3[cH:31][cH:32][c:33]([OH:34])[cH:35][cH:36]3)[cH:37][cH:38]2)[CH2:39][CH2:40]1
US07148174B2,,O=[CH:1][c:17]1[cH:18][cH:19][cH:20][cH:21][n:22]1.O[CH3:10].[NH2:2][C@@H:3]1[CH2:4][CH2:5][CH2:6][CH2:7][C@H:8]1[NH2:9]>>[CH:1](=[N:2][C@@H:3]1[CH2:4][CH2:5][CH2:6][CH2:7][C@H:8]1[N:9]=[CH:10][c:11]1[cH:12][cH:13][cH:14][cH:15][n:16]1)[c:17]1[cH:18][cH:19][cH:20][cH:21][n:22]1
US05688792,,CC#N.CCO[C:2]([CH3:1])=[O:3].CN(C)C=O.Cc1ccc(S(=O)(=O)O[CH2:5][CH:6]2[CH2:7][N:8]([c:9]3[cH:10][cH:11][c:12]([N:13]4[CH2:14][CH2:15][S:16][CH2:17][CH2:18]4)[c:19]([F:20])[cH:21]3)[C:22](=[O:23])[O:24]2)cc1.ClC(Cl)Cl.[N-]=[N+]=[N-:4].[Na+]>>[CH3:1][C:2](=[O:3])[NH:4][CH2:5][C@H:6]1[CH2:7][N:8]([c:9]2[cH:10][cH:11][c:12]([N:13]3[CH2:14][CH2:15][S:16][CH2:17][CH2:18]3)[c:19]([F:20])[cH:21]2)[C:22](=[O:23])[O:24]1
US09434697B2,,CCCP1(=O)OP(=O)(CCC)OP(=O)(CCC)O1.CCN(CC)CC.ClCCl.O[C:27](=[O:28])/[CH:29]=[CH:30]/[Cl:31].[CH3:1][O:2][c:3]1[cH:4][c:5]([O:6][CH3:7])[c:8]([Cl:9])[c:10]([NH:11][C:12](=[O:13])[N:14]([CH3:15])[c:16]2[cH:17][c:18]([NH:19][c:20]3[cH:21][cH:22][cH:23][cH:24][c:25]3[NH2:26])[n:32][cH:33][n:34]2)[c:35]1[Cl:36]>>[CH3:1][O:2][c:3]1[cH:4][c:5]([O:6][CH3:7])[c:8]([Cl:9])[c:10]([NH:11][C:12](=[O:13])[N:14]([CH3:15])[c:16]2[cH:17][c:18]([NH:19][c:20]3[cH:21][cH:22][cH:23][cH:24][c:25]3[NH:26][C:27](=[O:28])/[CH:29]=[CH:30]/[Cl:31])[n:32][cH:33][n:34]2)[c:35]1[Cl:36]
US08367829B2,,Cl[Si:17]([CH3:18])([CH3:19])[C:20]([CH3:21])([CH3:22])[CH3:23].[CH3:1][C:2]([CH3:3])([CH3:4])[Si:5]([CH3:6])([CH3:7])[O:8][CH2:9][c:10]1[cH:11][c:12]([C@H:13]([CH2:14][Br:15])[OH:16])[cH:24][cH:25][c:26]1[O:27][CH2:28][c:29]1[cH:30][cH:31][cH:32][cH:33][cH:34]1>>[CH3:1][C:2]([CH3:3])([CH3:4])[Si:5]([CH3:6])([CH3:7])[O:8][CH2:9][c:10]1[cH:11][c:12]([C@H:13]([CH2:14][Br:15])[O:16][Si:17]([CH3:18])([CH3:19])[C:20]([CH3:21])([CH3:22])[CH3:23])[cH:24][cH:25][c:26]1[O:27][CH2:28][c:29]1[cH:30][cH:31][cH:32][cH:33][cH:34]1
US08273773B2,,Br[CH2:3][c:4]1[cH:5][c:6]([NH:7][S:8]([CH3:9])(=[O:10])=[O:11])[cH:12][cH:13][c:14]1/[CH:15]=[CH:16]/[c:17]1[cH:18][c:19](-[c:20]2[cH:21][cH:22][c:23]([CH3:24])[nH:25][c:26]2=[O:27])[cH:28][c:29]([C:30]([CH3:31])([CH3:32])[CH3:33])[c:34]1[O:35][CH3:36].C[O-].[CH3:1][OH:2].[Na+]>>[CH3:1][O:2][CH2:3][c:4]1[cH:5][c:6]([NH:7][S:8]([CH3:9])(=[O:10])=[O:11])[cH:12][cH:13][c:14]1/[CH:15]=[CH:16]/[c:17]1[cH:18][c:19](-[c:20]2[cH:21][cH:22][c:23]([CH3:24])[nH:25][c:26]2=[O:27])[cH:28][c:29]([C:30]([CH3:31])([CH3:32])[CH3:33])[c:34]1[O:35][CH3:36]
US05371101,,C[C@H](O)[C@@]1(c2ccc(F)cc2F)CO1.FC(F)(F)COc1ccc(-n2nnnc2O[C@H:2]([CH3:1])[C@@:21]2([c:22]3[cH:23][cH:24][c:25]([F:26])[cH:27][c:28]3[F:29])[CH2:30][O:31]2)cc1.[nH:3]1[n:4][n:5][n:6](-[c:7]2[cH:8][cH:9][c:10]([O:11][CH2:12][C:13]([F:14])([F:15])[F:16])[cH:17][cH:18]2)[c:19]1=[O:20]>>[CH3:1][C@@H:2]([n:3]1[n:4][n:5][n:6](-[c:7]2[cH:8][cH:9][c:10]([O:11][CH2:12][C:13]([F:14])([F:15])[F:16])[cH:17][cH:18]2)[c:19]1=[O:20])[C@@:21]1([c:22]2[cH:23][cH:24][c:25]([F:26])[cH:27][c:28]2[F:29])[CH2:30][O:31]1
US08163763B2,,C1COCCO1.CC(C)(C)OC(=O)[N:32]1[CH2:31][CH2:30][c:29]2[c:8]([N:7]3[C@@H:2]([CH3:1])[CH2:3][O:4][CH2:5][CH2:6]3)[n:9][c:10](-[c:11]3[cH:12][cH:13][c:14]([NH:15][c:16]4[cH:17][c:18](=[O:19])[n:20]([CH3:21])[c:22](=[O:23])[nH:24]4)[cH:25][cH:26]3)[n:27][c:28]2[CH2:33]1.Cl>>[CH3:1][C@H:2]1[CH2:3][O:4][CH2:5][CH2:6][N:7]1[c:8]1[n:9][c:10](-[c:11]2[cH:12][cH:13][c:14]([NH:15][c:16]3[cH:17][c:18](=[O:19])[n:20]([CH3:21])[c:22](=[O:23])[nH:24]3)[cH:25][cH:26]2)[n:27][c:28]2[c:29]1[CH2:30][CH2:31][NH:32][CH2:33]2
US04107431,,ClCCl.O=[CH2:1].[Br-].[Na].c1ccc([P+](c2ccccc2)(c2ccccc2)[CH2:2][C:3]2=[C:4]([C:5](=[O:6])[O:7][CH2:8][C:9]([Cl:10])([Cl:11])[Cl:12])[N:13]3[C:14](=[O:15])[C@@H:16]([NH:17][C:18](=[O:19])[CH2:20][O:21][c:22]4[cH:23][cH:24][cH:25][cH:26][cH:27]4)[C@H:28]3[S:29][CH2:30]2)cc1>>[CH2:1]=[CH:2][C:3]1=[C:4]([C:5](=[O:6])[O:7][CH2:8][C:9]([Cl:10])([Cl:11])[Cl:12])[N:13]2[C:14](=[O:15])[C@@H:16]([NH:17][C:18](=[O:19])[CH2:20][O:21][c:22]3[cH:23][cH:24][cH:25][cH:26][cH:27]3)[C@H:28]2[S:29][CH2:30]1
US04699995,,Br[CH2:18][CH2:17][O:16][c:15]1[cH:14][cH:13][c:12](/[CH:11]=[CH:10]\[CH2:9][CH2:8][CH2:7][CH2:6][CH2:5][CH2:4][CH2:3][CH2:2][CH3:1])[cH:31][cH:30]1.CCO.[CH2:19]([C:20](=[O:21])[O:22][CH2:23][CH3:24])[C:25](=[O:26])[O:27][CH2:28][CH3:29].[Na]>>[CH3:1][CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][CH2:9]/[CH:10]=[CH:11]\[c:12]1[cH:13][cH:14][c:15]([O:16][CH2:17][CH2:18][CH:19]([C:20](=[O:21])[O:22][CH2:23][CH3:24])[C:25](=[O:26])[O:27][CH2:28][CH3:29])[cH:30][cH:31]1
US07396844B1,,C1CCOC1.CCN(CC)CC.CN(C)C=O.CO.CO[C:10](=O)[C@H:9]([NH:8][C:6]([O:5][C:2]([CH3:1])([CH3:3])[CH3:4])=[O:7])[CH2:12][c:13]1[cH:14][cH:15][c:16]([I:17])[cH:18][cH:19]1.CS(=O)(=O)Cl.O.[BH4-].[Cl-].[ClH:11].[Li+].[Na+]>>[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[NH:8][C@@H:9]([CH2:10][Cl:11])[CH2:12][c:13]1[cH:14][cH:15][c:16]([I:17])[cH:18][cH:19]1
US05476944,,ClCCl.O.O=C(O)C(F)(F)F.O[C@@H:7]1[CH2:8][CH2:9][CH2:10][CH2:11][C@H:12]1[S:13][c:14]1[cH:15][c:16]([C:17]([CH3:18])([CH3:19])[CH3:20])[cH:21][c:22]([C:23]([CH3:24])([CH3:25])[CH3:26])[cH:27]1.[CH3:1][O:2][C:3](=[O:4])[CH2:5][SH:6]>>[CH3:1][O:2][C:3](=[O:4])[CH2:5][S:6][C@@H:7]1[CH2:8][CH2:9][CH2:10][CH2:11][C@H:12]1[S:13][c:14]1[cH:15][c:16]([C:17]([CH3:18])([CH3:19])[CH3:20])[cH:21][c:22]([C:23]([CH3:24])([CH3:25])[CH3:26])[cH:27]1
